id,name_with_brand,overall_sentiment
AVpfliCoilAPnD_xegIr,0.6 Cu. Ft. Letter A4 Size Waterproof 30 Min. Fire File Chest by Honeywell,0.67
AVpf-lMV1cnluZ0-ub0_,If A Man Answers (dvd) by Target.com Use Only,0.75
AVpfLnfPLJeJML434HpK,"Pleasant Hearth 1,800 sq ft Wood Burning Stove with Blower, Medium, LWS-127201 by Pleasant Hearth",0.81
AVpfluP1ilAPnD_xejxO,Stacy's Simply Naked Bagel Chips by STACY'S,0.67
AVpfL-z9ilAPnD_xWzE_,Stacy's Garden Veggie Medley Pita Chips by STACY'S,0.5
AVpfM_ytilAPnD_xXIJb,Tostitos Bite Size Tortilla Chips by Tostitos,0.6
AVpfm8yiLJeJML43AYyu,Nexxus Exxtra Gel Style Creation Sculptor by Nexxus,0.12
AVpfmjXGLJeJML43AQ5_,Hollywood Beauty Olive Cholesterol by Hollywood Beauty,0.83
AVpfml2VilAPnD_xe0m6,Southern Enterprises Archer Fold-Away Home Bar in Walnut by Southern Enterprises,0.0
AVpfMpZ51cnluZ0-f_L9,Chips Ahoy! Original Chocolate Chip - Cookies - Family Size 18.2oz by Chips Ahoy,0.48
AVpfmVnVLJeJML43AMqC,4C Grated Parmesan Cheese 100% Natural 8oz Shaker by 4C Foods,0.83
AVpfN6Z71cnluZ0-gZmO,"Caress Moisturizing Body Bar Natural Silk, 4.75oz by Caress",0.76
AVpfNc9cLJeJML434tza,Feit 60-Watt A19 Gu24 Base Led Light Bulb - Soft White by Feit,0.0
AVpfNfEMLJeJML434uf-,Heiress (dvd) by UNIVERSAL HOME ENTERTAINMENT,0.92
AVpfNglu1cnluZ0-gQ7x,Mia Shower Curtain Green/brown - Lush Decor174 by Lush Decor,0.91
AVpfnjBILJeJML43AkO3,Progresso Traditional Chicken Tuscany Soup by Progresso,0.67
AVpfnRuSilAPnD_xfB8l,Yes To Grapefruit Rejuvenating Body Wash by Yes to Grapefruit,0.67
AVpfnS4eLJeJML43AfZe,Progresso Light Vegetable & Noodle Soup by Progresso,0.33
AVpfnUcwLJeJML43Af2U,Maybelline Clean Express! Makeup Removing Lotion by Maybelline,0.67
AVpfNVsj1cnluZ0-gNQN,"Physicians Formula Powder Palette Mineral Glow Pearls, Translucent Pearl by Physician's Formula",0.43
AVpfNWbPilAPnD_xXPR7,"Pleasant Hearth 7.5 Steel Grate, 30 5 Bar - Black by Pleasant Hearth",0.41
AVpfO5u71cnluZ0-guiN,Switchmas (dvd) by Sony,0.86
AVpf--o9LJeJML43G_Fq,Vaseline Intensive Care Healthy Hands Stronger Nails by Vaseline,0.84
AVpfOfIqLJeJML435D06,Solo Foods Poppy Seed Cake and Pastry Filling by Solo Foods,0.38
AVpfOIrkilAPnD_xXgDG,Alex Cross (dvdvideo) by Summit Entertainment,0.67
AVpfOmKwLJeJML435GM7,Clear Scalp & Hair Therapy Total Care Nourishing Shampoo by Clear Scalp & Hair Therapy,0.58
AVpfOrD0ilAPnD_xXrRj,Progresso Traditional Chicken Rice With Vegetables Soup by Progresso,1.0
AVpfoSS51cnluZ0-oVH9,Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks by Cheetos,0.67
AVpfov9TLJeJML43A7B0,Bisquick Original Pancake And Baking Mix - 40oz by Bisquick,0.62
AVpfozgyilAPnD_xfe0r,Olivella Bar Soap - 3.52 Oz by Olivella,0.0
AVpfPaoqLJeJML435Xk9,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd by Warner Home Video,0.8
AVpfPjqKLJeJML435aZR,Voortman Sugar Free Fudge Chocolate Chip Cookies by Voortman,0.75
AVpfPkrkilAPnD_xX-L9,"Finish Gelpacs Dishwasher Detergent, Orange Scent, 84ct by Finish",0.5
AVpfPKzxLJeJML435SYL,Tim Holtz Retractable Craft Pick-Red 6x.5 by Tim Holtz,0.0
AVpfpM2yilAPnD_xfmDG,Ragu Traditional Pasta Sauce by Ragu,0.49
AVpfPnrU1cnluZ0-g9rL,Stargate (ws) (ultimate Edition) (director's Cut) (dvdvideo) by Lionsgate,0.87
AVpfpoUCLJeJML43BLXv,"Iman Luxury Moisturizing Lipstick, Black Brandy 006 by Iman",1.0
AVpfPPkEilAPnD_xX3cP,"Aveeno Baby Continuous Protection Lotion Sunscreen with Broad Spectrum SPF 55, 4oz by Aveeno",0.32
AVpfP-rELJeJML435jEN,5302050 15/16 FCT/HOSE ADAPTOR by LDR,0.0
AVpfPx6V1cnluZ0-hA5y,"Ben & Jerry's Coffee, Coffee Buzzbuzzbuzz! Ice Cream, Pint by Ben & Jerry's",0.91
AVpfQtEm1cnluZ0-hUpe,Jolly Time Select Premium Yellow Pop Corn by Jolly Time,0.78
AVpfqW4WilAPnD_xf7a_,Leslie Sansone:Belly Blasting Walk (dvd) by ANCHOR BAY,0.63
AVpfr5cb1cnluZ0-pZFp,Boraam Sonoma Kitchen Cart With Wire Brush Gray - Maaya Home by Maaya Home,0.89
AVpfR5m0LJeJML436K3W,Jason Aldean - They Don't Know by Warner Music Group,0.79
AVpfRE4tilAPnD_xYdo_,Ogx Anti-breakage Keratin Oil 3 Minute Miraculous Recovery by Ogx,0.89
AVpfrFDZLJeJML43Bmv0,Meguiar's Ultimate Quik Detailer 22-Oz. by Meguiars,0.55
